gender,session,parental level of education,finance,test preparation course,math score,reading score,writing score
male,session D,high school,self-financed,completed,73,68,66
female,session E,bachelor's degree,sponsored,none,80,83,83
female,session D,high school,sponsored,none,56,52,55
male,session E,some college,sponsored,none,59,51,43
male,session D,some high school,sponsored,none,75,74,69
male,session C,associate's degree,sponsored,none,85,76,71
male,session E,associate's degree,sponsored,none,89,76,74
female,session B,high school,sponsored,completed,58,70,68
female,session B,high school,sponsored,none,65,64,62
male,session C,high school,sponsored,none,68,60,53
male,session A,some high school,sponsored,completed,47,49,49
female,session D,some college,self-financed,none,71,83,83
female,session B,some high school,sponsored,completed,60,70,70
male,session D,master's degree,sponsored,none,80,80,72
male,session D,high school,sponsored,none,54,52,52
female,session E,some college,sponsored,none,62,73,70
female,session C,associate's degree,self-financed,none,64,73,68
male,session C,associate's degree,sponsored,completed,78,77,77
female,session B,some college,sponsored,none,70,75,78
female,session C,master's degree,self-financed,completed,65,81,81
female,session C,some high school,self-financed,completed,64,79,77
male,session C,some college,sponsored,completed,79,79,78
female,session C,some high school,self-financed,none,44,50,51
female,session E,high school,sponsored,none,99,93,90
male,session D,high school,sponsored,none,76,73,68
male,session D,some high school,self-financed,none,59,42,41
female,session C,bachelor's degree,sponsored,none,63,75,81
female,session D,high school,sponsored,none,69,72,77
female,session D,associate's degree,sponsored,completed,88,92,95
female,session E,some college,self-financed,none,71,76,70
male,session C,bachelor's degree,sponsored,none,69,63,61
male,session C,some college,sponsored,none,58,49,42
female,session D,associate's degree,self-financed,none,47,53,58
female,session D,some college,sponsored,none,65,70,71
male,session B,some college,sponsored,completed,88,85,76
male,session C,bachelor's degree,sponsored,none,83,78,73
female,session C,some high school,sponsored,completed,85,92,93
female,session E,high school,sponsored,completed,59,63,75
female,session C,some high school,self-financed,none,65,86,80
male,session B,bachelor's degree,self-financed,none,73,56,57
male,session D,high school,sponsored,none,53,52,42
male,session D,high school,sponsored,none,45,48,46
female,session D,bachelor's degree,self-financed,none,73,79,84
female,session D,some college,self-financed,completed,70,78,78
female,session B,some high school,sponsored,none,37,46,46
male,session B,associate's degree,sponsored,completed,81,82,82
male,session E,associate's degree,sponsored,completed,97,82,88
female,session B,some high school,sponsored,none,67,89,82
male,session B,bachelor's degree,self-financed,none,88,75,76
male,session E,some high school,sponsored,completed,77,76,77
male,session C,associate's degree,sponsored,none,76,70,68
male,session D,some high school,sponsored,none,86,73,70
male,session C,some high school,sponsored,completed,63,60,57
female,session E,bachelor's degree,sponsored,none,65,73,75
male,session D,high school,self-financed,completed,78,77,80
male,session B,associate's degree,self-financed,none,67,62,60
male,session A,some high school,sponsored,completed,46,41,43
male,session E,associate's degree,sponsored,completed,71,74,68
male,session C,high school,self-financed,completed,40,46,50
male,session D,associate's degree,self-financed,none,90,87,75
male,session A,some college,self-financed,completed,81,78,81
male,session D,some high school,self-financed,none,56,54,52
female,session C,associate's degree,sponsored,completed,67,84,81
male,session B,associate's degree,sponsored,none,80,76,64
female,session C,associate's degree,sponsored,completed,74,75,83
male,session A,some college,sponsored,none,69,67,69
male,session E,some college,sponsored,completed,99,87,81
male,session C,some high school,sponsored,none,51,52,44
female,session B,associate's degree,self-financed,none,53,71,67
female,session D,high school,self-financed,none,49,57,52
female,session B,associate's degree,sponsored,none,73,76,80
male,session B,bachelor's degree,sponsored,none,66,60,57
male,session D,bachelor's degree,sponsored,completed,67,61,68
female,session C,associate's degree,self-financed,completed,68,67,69
female,session C,bachelor's degree,sponsored,completed,59,64,75
male,session C,high school,sponsored,none,71,66,65
female,session D,master's degree,sponsored,completed,77,82,91
male,session C,associate's degree,sponsored,none,83,72,78
male,session B,bachelor's degree,sponsored,none,63,71,69
female,session D,associate's degree,self-financed,none,56,65,63
female,session C,high school,self-financed,completed,67,79,84
female,session E,high school,sponsored,none,75,86,79
female,session C,some college,sponsored,none,71,81,80
female,session C,some high school,self-financed,none,43,53,53
female,session C,high school,self-financed,none,41,46,43
female,session C,some college,sponsored,none,82,90,94
male,session C,some college,sponsored,none,61,61,62
male,session A,some college,self-financed,none,28,23,19
male,session C,associate's degree,sponsored,completed,82,75,77
female,session B,some high school,sponsored,none,41,55,51
male,session C,high school,sponsored,none,71,60,61
male,session C,associate's degree,sponsored,none,47,37,35
male,session E,associate's degree,sponsored,completed,62,56,53
male,session B,associate's degree,sponsored,none,90,78,81
female,session C,bachelor's degree,sponsored,none,83,93,95
female,session B,some college,self-financed,none,61,68,66
male,session D,some high school,sponsored,completed,76,70,69
male,session C,associate's degree,sponsored,none,49,51,43
female,session B,some high school,self-financed,none,24,38,27
female,session D,some high school,self-financed,completed,35,55,60
male,session C,high school,self-financed,none,58,61,52
female,session C,high school,sponsored,none,61,73,63
female,session B,high school,sponsored,completed,69,76,74
male,session D,associate's degree,sponsored,completed,67,72,67
male,session D,some college,sponsored,none,79,73,67
female,session C,high school,sponsored,none,72,80,75
male,session B,some college,sponsored,none,62,61,57
female,session C,bachelor's degree,sponsored,completed,77,94,95
male,session D,high school,self-financed,none,75,74,66
male,session E,associate's degree,sponsored,none,87,74,76
female,session B,bachelor's degree,sponsored,none,52,65,69
male,session E,some college,sponsored,none,66,57,52
female,session C,some college,sponsored,completed,63,78,80
female,session C,associate's degree,sponsored,none,46,58,57
female,session C,some college,sponsored,none,59,71,70
female,session B,bachelor's degree,sponsored,none,61,72,70
male,session A,associate's degree,sponsored,none,63,61,61
female,session C,some college,self-financed,completed,42,66,69
male,session D,some college,self-financed,none,59,62,61
female,session D,some college,sponsored,none,80,90,89
female,session B,high school,sponsored,none,58,62,59
male,session B,some high school,sponsored,completed,85,84,78
female,session C,some college,sponsored,none,52,58,58
female,session D,some high school,self-financed,none,27,34,32
male,session C,some college,sponsored,none,59,60,58
male,session A,bachelor's degree,self-financed,completed,49,58,60
male,session C,high school,sponsored,completed,69,58,53
male,session C,bachelor's degree,self-financed,none,61,66,61
female,session A,some high school,self-financed,none,44,64,58
female,session D,some high school,sponsored,none,73,84,85
male,session E,some college,sponsored,none,84,77,71
female,session C,some college,self-financed,completed,45,73,70
male,session D,some high school,sponsored,none,74,74,72
female,session D,some college,sponsored,completed,82,97,96
female,session D,bachelor's degree,sponsored,none,59,70,73
male,session E,associate's degree,self-financed,none,46,43,41
female,session D,some high school,sponsored,none,80,90,82
female,session D,master's degree,self-financed,completed,85,95,100
female,session A,some high school,sponsored,none,71,83,77
male,session A,bachelor's degree,sponsored,none,66,64,62
female,session B,associate's degree,sponsored,none,80,86,83
male,session C,associate's degree,sponsored,completed,87,100,95
male,session C,master's degree,self-financed,none,79,81,71
female,session E,some high school,self-financed,none,38,49,45
female,session A,some high school,self-financed,none,38,43,43
female,session E,some college,sponsored,none,67,76,75
female,session E,bachelor's degree,sponsored,none,64,73,70
female,session C,associate's degree,self-financed,none,57,78,67
female,session D,high school,sponsored,none,62,64,64
male,session D,master's degree,sponsored,none,73,70,75
male,session E,some high school,self-financed,completed,73,67,59
female,session D,some college,sponsored,none,77,68,77
male,session E,some college,sponsored,none,76,67,67
male,session C,associate's degree,sponsored,completed,57,54,56
female,session C,some high school,sponsored,completed,65,74,77
male,session A,high school,self-financed,none,48,45,41
female,session B,high school,self-financed,none,50,67,63
female,session C,associate's degree,sponsored,none,85,89,95
male,session B,some high school,sponsored,none,74,63,57
male,session D,some high school,sponsored,none,60,59,54
female,session C,some high school,sponsored,completed,59,54,67
male,session A,some college,sponsored,none,53,43,43
female,session A,some college,self-financed,none,49,65,55
female,session D,high school,sponsored,completed,88,99,100
female,session C,high school,sponsored,none,54,59,62
female,session C,some high school,sponsored,none,63,73,68
male,session B,associate's degree,sponsored,completed,65,65,63
female,session B,associate's degree,sponsored,none,82,80,77
female,session D,high school,self-financed,completed,52,57,56
male,session D,associate's degree,sponsored,completed,87,84,85
female,session D,master's degree,sponsored,completed,70,71,74
male,session E,some college,sponsored,completed,84,83,78
male,session D,associate's degree,sponsored,none,71,66,60
male,session B,some high school,sponsored,completed,63,67,67
female,session C,bachelor's degree,self-financed,completed,51,72,79
male,session E,high school,sponsored,none,84,73,69
male,session C,bachelor's degree,sponsored,completed,71,74,68
male,session C,associate's degree,sponsored,none,74,73,67
male,session D,some college,sponsored,none,68,59,62
male,session E,high school,self-financed,completed,57,56,54
female,session C,associate's degree,self-financed,completed,82,93,93
female,session D,high school,sponsored,completed,57,58,64
female,session D,master's degree,self-financed,completed,47,58,67
female,session A,some high school,sponsored,completed,59,85,80
male,session B,some college,self-financed,none,41,39,34
female,session C,some college,self-financed,none,62,67,62
male,session C,bachelor's degree,sponsored,none,86,83,86
male,session C,some high school,self-financed,none,69,71,65
male,session A,some high school,self-financed,none,65,59,53
male,session C,some high school,self-financed,none,68,63,54
male,session C,associate's degree,self-financed,none,64,66,59
female,session C,high school,sponsored,none,61,72,70
male,session C,high school,sponsored,none,61,56,55
female,session A,some high school,self-financed,none,47,59,50
male,session C,some high school,sponsored,none,73,66,66
male,session C,some college,self-financed,completed,50,48,53
male,session D,associate's degree,sponsored,none,75,68,64
male,session D,associate's degree,self-financed,none,75,66,73
male,session C,high school,sponsored,none,70,56,51
male,session D,some high school,sponsored,completed,89,88,82
female,session C,some college,sponsored,completed,67,81,79
female,session D,high school,sponsored,none,78,81,80
female,session A,some high school,self-financed,none,59,73,69
female,session B,associate's degree,sponsored,none,73,83,76
male,session A,some high school,self-financed,none,79,82,73
female,session C,some high school,sponsored,completed,67,74,77
male,session D,some college,self-financed,none,69,66,60
male,session C,high school,sponsored,completed,86,81,80
male,session B,high school,sponsored,none,47,46,42
male,session B,associate's degree,sponsored,none,81,73,72
female,session C,some college,self-financed,completed,64,85,85
female,session E,some college,sponsored,none,100,92,97
female,session C,associate's degree,self-financed,none,65,77,74
male,session C,some college,self-financed,none,65,58,49
female,session C,associate's degree,self-financed,none,53,61,62
male,session C,bachelor's degree,self-financed,none,37,56,47
female,session D,bachelor's degree,sponsored,none,79,89,89
male,session D,associate's degree,self-financed,none,53,54,48
female,session E,bachelor's degree,sponsored,none,100,100,100
male,session B,high school,sponsored,completed,72,65,68
male,session C,bachelor's degree,self-financed,none,53,58,55
male,session B,some college,self-financed,none,54,54,45
female,session E,some college,sponsored,none,71,70,76
female,session C,some college,self-financed,none,77,90,91
male,session A,bachelor's degree,sponsored,completed,75,58,62
female,session C,some college,sponsored,none,84,87,91
female,session D,associate's degree,self-financed,none,26,31,38
male,session A,high school,self-financed,completed,72,67,65
female,session A,high school,self-financed,completed,77,88,85
male,session C,some college,sponsored,none,91,74,76
female,session C,associate's degree,sponsored,completed,83,85,90
female,session C,high school,sponsored,none,63,69,74
female,session C,associate's degree,sponsored,completed,68,86,84
female,session D,some high school,sponsored,none,59,67,61
female,session B,associate's degree,sponsored,completed,90,90,91
female,session D,bachelor's degree,sponsored,completed,71,76,83
male,session E,bachelor's degree,sponsored,completed,76,62,66
male,session D,associate's degree,sponsored,none,80,68,72
female,session D,master's degree,sponsored,none,55,64,70
male,session E,associate's degree,sponsored,none,76,71,67
male,session B,high school,sponsored,completed,73,71,68
female,session D,associate's degree,self-financed,none,52,59,56
male,session C,some college,self-financed,none,68,68,61
male,session A,high school,sponsored,none,59,52,46
female,session B,associate's degree,sponsored,none,49,52,54
male,session C,high school,sponsored,none,70,74,71
male,session D,some college,self-financed,none,61,47,56
female,session C,associate's degree,self-financed,none,60,75,74
male,session B,some high school,sponsored,completed,64,53,57
male,session A,associate's degree,self-financed,completed,79,82,82
female,session A,associate's degree,self-financed,none,65,85,76
female,session C,associate's degree,sponsored,none,64,64,70
female,session C,some college,sponsored,none,83,83,90
female,session C,bachelor's degree,sponsored,none,81,88,90
female,session B,high school,sponsored,none,54,64,68
male,session D,high school,sponsored,completed,68,64,66
female,session C,some college,sponsored,none,54,48,52
female,session D,some college,self-financed,completed,59,78,76
female,session B,some high school,sponsored,none,66,69,68
male,session E,some college,sponsored,none,76,71,72
female,session D,master's degree,sponsored,none,74,79,82
female,session B,associate's degree,sponsored,completed,94,87,92
male,session C,some college,self-financed,none,63,61,54
female,session E,associate's degree,sponsored,completed,95,89,92
female,session D,master's degree,self-financed,none,40,59,54
female,session B,some high school,sponsored,none,82,82,80
male,session A,high school,sponsored,none,68,70,66
male,session B,bachelor's degree,self-financed,none,55,59,54
male,session C,master's degree,sponsored,none,79,78,77
female,session C,bachelor's degree,sponsored,none,86,92,87
male,session D,some college,sponsored,none,76,71,73
male,session A,some high school,sponsored,none,64,50,43
male,session D,some high school,self-financed,none,62,49,52
female,session B,some high school,sponsored,completed,54,61,62
female,session B,master's degree,self-financed,completed,77,97,94
female,session C,some high school,sponsored,completed,76,87,85
female,session D,some college,sponsored,none,74,89,84
female,session E,some college,sponsored,completed,66,74,73
female,session D,some high school,sponsored,completed,66,78,78
female,session B,high school,self-financed,completed,67,78,79
male,session D,some college,sponsored,none,71,49,52
female,session C,associate's degree,sponsored,none,91,86,84
male,session D,bachelor's degree,sponsored,none,69,58,57
male,session C,master's degree,self-financed,none,54,59,50
male,session C,high school,sponsored,completed,53,52,49
male,session E,some college,sponsored,none,68,60,59
male,session C,some high school,self-financed,completed,56,61,60
female,session C,high school,self-financed,none,36,53,43
female,session D,bachelor's degree,self-financed,none,29,41,47
female,session C,associate's degree,sponsored,none,62,74,70
female,session C,associate's degree,sponsored,completed,68,67,73
female,session C,some high school,sponsored,none,47,54,53
male,session E,associate's degree,sponsored,completed,62,61,58
female,session E,associate's degree,sponsored,completed,79,88,94
male,session B,high school,sponsored,completed,73,69,68
female,session C,bachelor's degree,self-financed,completed,66,83,83
male,session C,associate's degree,sponsored,completed,51,60,58
female,session D,high school,sponsored,none,51,66,62
male,session E,bachelor's degree,sponsored,completed,85,66,71
male,session A,associate's degree,sponsored,completed,97,92,86
male,session C,high school,sponsored,completed,75,69,68
male,session D,associate's degree,self-financed,completed,79,82,80
female,session C,associate's degree,sponsored,none,81,77,79
female,session D,associate's degree,sponsored,none,82,95,89
female,session D,master's degree,sponsored,none,64,63,66
male,session E,some high school,self-financed,completed,78,83,80
female,session A,some high school,sponsored,completed,92,100,97
male,session C,high school,sponsored,completed,72,67,64
female,session C,high school,self-financed,none,62,67,64
male,session C,master's degree,sponsored,none,79,72,69
male,session C,some high school,self-financed,none,79,76,65
male,session B,bachelor's degree,self-financed,completed,87,90,88
female,session B,associate's degree,sponsored,none,40,48,50
male,session D,some college,self-financed,none,77,62,64
male,session E,associate's degree,sponsored,none,53,45,40
female,session C,some college,self-financed,none,32,39,33
female,session C,associate's degree,sponsored,completed,55,72,79
male,session C,master's degree,self-financed,none,61,67,66
female,session B,associate's degree,self-financed,none,53,70,70
male,session D,some high school,sponsored,none,73,66,62
female,session D,some college,sponsored,completed,74,75,79
female,session C,some college,sponsored,none,63,74,74
male,session C,bachelor's degree,sponsored,completed,96,90,92
female,session D,some college,self-financed,completed,63,80,80
male,session B,bachelor's degree,self-financed,none,48,51,46
male,session B,associate's degree,sponsored,none,48,43,45
female,session E,bachelor's degree,self-financed,completed,92,100,100
female,session D,master's degree,self-financed,completed,61,71,78
male,session B,high school,self-financed,none,63,48,47
male,session D,bachelor's degree,self-financed,none,68,68,67
male,session B,some college,sponsored,completed,71,75,70
male,session A,bachelor's degree,sponsored,none,91,96,92
female,session C,some college,sponsored,none,53,62,56
female,session C,high school,self-financed,completed,50,66,64
female,session E,high school,sponsored,none,74,81,71
male,session A,associate's degree,self-financed,completed,40,55,53
male,session A,some college,sponsored,completed,61,51,52
female,session B,high school,sponsored,none,81,91,89
female,session B,some college,self-financed,completed,48,56,58
female,session D,master's degree,sponsored,none,53,61,68
female,session D,some high school,sponsored,none,81,97,96
female,session E,some high school,sponsored,none,77,79,80
female,session D,bachelor's degree,self-financed,none,63,73,78
female,session D,associate's degree,sponsored,completed,73,75,80
female,session D,some college,sponsored,none,69,77,77
female,session C,associate's degree,sponsored,none,65,76,76
female,session A,high school,sponsored,none,55,73,73
female,session C,bachelor's degree,self-financed,none,44,63,62
female,session C,some college,sponsored,none,54,64,65
female,session A,some high school,sponsored,none,48,66,65
male,session C,some college,self-financed,none,58,57,54
male,session A,some high school,sponsored,none,71,62,50
male,session E,bachelor's degree,sponsored,none,68,68,64
female,session E,high school,sponsored,none,74,76,73
female,session C,bachelor's degree,sponsored,completed,92,100,99
female,session C,bachelor's degree,sponsored,completed,56,79,72
male,session B,high school,self-financed,none,30,24,15
male,session A,some high school,sponsored,none,53,54,48
female,session D,high school,sponsored,none,69,77,73
female,session D,some high school,sponsored,none,65,82,81
female,session D,master's degree,sponsored,none,54,60,63
female,session C,high school,sponsored,none,29,29,30
female,session E,some college,sponsored,none,76,78,80
male,session D,high school,self-financed,none,60,57,51
male,session D,master's degree,self-financed,completed,84,89,90
male,session C,some high school,sponsored,none,75,72,62
